=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 793         |
|    ep_rew_mean          | 4.48        |
| time/                   |             |
|    fps                  | 1577        |
|    iterations           | 58          |
|    time_elapsed         | 301         |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.025731534 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.513      |
|    explained_variance   | 0.133       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0319     |
|    n_updates            | 570         |
|    policy_gradient_loss | -0.0223     |
|    value_loss           | 0.016       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 778         |
|    ep_rew_mean          | 4.47        |
| time/                   |             |
|    fps                  | 1581        |
|    iterations           | 59          |
|    time_elapsed         | 305         |
|    total_timesteps      | 483328      |
| train/                  |             |
|    approx_kl            | 0.029137142 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.514      |
|    explained_variance   | 0.142       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.034      |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0226     |
|    value_loss           | 0.0147      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 789         |
|    ep_rew_mean          | 4.6         |
| time/                   |             |
|    fps                  | 1585        |
|    iterations           | 60          |
|    time_elapsed         | 310         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.030967101 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.476      |
|    explained_variance   | 0.16        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00629     |
|    n_updates            | 590         |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 0.0168      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 801        |
|    ep_rew_mean          | 4.71       |
| time/                   |            |
|    fps                  | 1588       |
|    iterations           | 61         |
|    time_elapsed         | 314        |
|    total_timesteps      | 499712     |
| train/                  |            |
|    approx_kl            | 0.03103697 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.506     |
|    explained_variance   | 0.142      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0322    |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0242    |
|    value_loss           | 0.0152     |
----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.027729867 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.508      |
|    explained_variance   | 0.178       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0208     |
|    n_updates            | 610         |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 0.0148      |
| train_eval/             |             |
|    mean_cum_return      | 1.87        |
|    mean_mdd             | -0.499      |
|    mean_sharpe          | -0.186      |
|    mean_win_rate        | 0.37        |
|    std_cum_return       | 4.82        |
|    std_mdd              | 0.102       |
|    std_sharpe           | 0.935       |
|    std_win_rate         | 0.0768      |
| val/                    |             |
|    mean_cum_return      | 0.108       |
|    mean_mdd             | -0.322      |
|    mean_sharpe          | -0.00775    |
|    mean_win_rate        | 0.399       |
|    std_cum_return       | 0.525       |
|    std_mdd              | 0.0999      |
|    std_sharpe           | 1.78        |
|    std_win_rate         | 0.0694      |
-----------------------------------------
  [eval] step=500,000  val cum_ret=+10.79%  MDD=-32.20%  sharpe=-0.008  win_rate=39.9%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 811      |
|    ep_rew_mean     | 4.78     |
| time/              |          |
|    fps             | 1570     |
|    iterations      | 62       |
|    time_elapsed    | 323      |
|    total_timesteps | 507904   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 801         |
|    ep_rew_mean          | 4.72        |
| time/                   |             |
|    fps                  | 1573        |
|    iterations           | 63          |
|    time_elapsed         | 328         |
|    total_timesteps      | 516096      |
| train/                  |             |
|    approx_kl            | 0.027805787 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.474      |
|    explained_variance   | 0.231       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0376     |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.0207     |
|    value_loss           | 0.0143      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 822        |
|    ep_rew_mean          | 4.92       |
| time/                   |            |
|    fps                  | 1576       |
|    iterations           | 64         |
|    time_elapsed         | 332        |
|    total_timesteps      | 524288     |
| train/                  |            |
|    approx_kl            | 0.02727067 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.491     |
|    explained_variance   | 0.181      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0367    |
|    n_updates            | 630        |
|    policy_gradient_loss | -0.0232    |
|    value_loss           | 0.0132     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 847        |
|    ep_rew_mean          | 5.13       |
| time/                   |            |
|    fps                  | 1579       |
|    iterations           | 65         |
|    time_elapsed         | 337        |
|    total_timesteps      | 532480     |
| train/                  |            |
|    approx_kl            | 0.03057238 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.486     |
|    explained_variance   | 0.159      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0185    |
|    n_updates            | 640        |
|    policy_gradient_loss | -0.0224    |
|    value_loss           | 0.0175     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 839         |
|    ep_rew_mean          | 5.04        |
| time/                   |             |
|    fps                  | 1582        |
|    iterations           | 66          |
|    time_elapsed         | 341         |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.031802956 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.52       |
|    explained_variance   | 0.128       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0333     |
|    n_updates            | 650         |
|    policy_gradient_loss | -0.0228     |
|    value_loss           | 0.0148      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 833         |
|    ep_rew_mean          | 5           |
| time/                   |             |
|    fps                  | 1585        |
|    iterations           | 67          |
|    time_elapsed         | 346         |
|    total_timesteps      | 548864      |
| train/                  |             |
|    approx_kl            | 0.031362236 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.506      |
|    explained_variance   | 0.131       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.035      |
|    n_updates            | 660         |
|    policy_gradient_loss | -0.0237     |
|    value_loss           | 0.0132      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.029383238 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.513      |
|    explained_variance   | 0.118       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0135     |
|    n_updates            | 670         |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 0.0141      |
| train_eval/             |             |
|    mean_cum_return      | 1.41        |
|    mean_mdd             | -0.496      |
|    mean_sharpe          | -0.425      |
|    mean_win_rate        | 0.356       |
|    std_cum_return       | 3.29        |
|    std_mdd              | 0.131       |
|    std_sharpe           | 1.44        |
|    std_win_rate         | 0.0995      |
| val/                    |             |
|    mean_cum_return      | 0.0377      |
|    mean_mdd             | -0.333      |
|    mean_sharpe          | -0.488      |
|    mean_win_rate        | 0.381       |
|    std_cum_return       | 0.477       |
|    std_mdd              | 0.101       |
|    std_sharpe           | 2.08        |
|    std_win_rate         | 0.0929      |
-----------------------------------------
  [eval] step=550,000  val cum_ret=+3.77%  MDD=-33.31%  sharpe=-0.488  win_rate=38.1%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 854      |
|    ep_rew_mean     | 5.07     |
| time/              |          |
|    fps             | 1568     |
|    iterations      | 68       |
|    time_elapsed    | 355      |
|    total_timesteps | 557056   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 876         |
|    ep_rew_mean          | 5.25        |
| time/                   |             |
|    fps                  | 1571        |
|    iterations           | 69          |
|    time_elapsed         | 359         |
|    total_timesteps      | 565248      |
| train/                  |             |
|    approx_kl            | 0.029866824 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.508      |
|    explained_variance   | 0.222       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.066      |
|    n_updates            | 680         |
|    policy_gradient_loss | -0.0247     |
|    value_loss           | 0.0114      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 900         |
|    ep_rew_mean          | 5.4         |
| time/                   |             |
|    fps                  | 1574        |
|    iterations           | 70          |
|    time_elapsed         | 364         |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.029003926 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.494      |
|    explained_variance   | 0.192       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.049      |
|    n_updates            | 690         |
|    policy_gradient_loss | -0.0212     |
|    value_loss           | 0.0109      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 892        |
|    ep_rew_mean          | 5.26       |
| time/                   |            |
|    fps                  | 1577       |
|    iterations           | 71         |
|    time_elapsed         | 368        |
|    total_timesteps      | 581632     |
| train/                  |            |
|    approx_kl            | 0.03066425 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.505     |
|    explained_variance   | 0.246      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0429    |
|    n_updates            | 700        |
|    policy_gradient_loss | -0.0222    |
|    value_loss           | 0.0125     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 888        |
|    ep_rew_mean          | 5.22       |
| time/                   |            |
|    fps                  | 1580       |
|    iterations           | 72         |
|    time_elapsed         | 373        |
|    total_timesteps      | 589824     |
| train/                  |            |
|    approx_kl            | 0.02902041 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.492     |
|    explained_variance   | 0.153      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0182    |
|    n_updates            | 710        |
|    policy_gradient_loss | -0.0228    |
|    value_loss           | 0.0139     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 891         |
|    ep_rew_mean          | 5.25        |
| time/                   |             |
|    fps                  | 1583        |
|    iterations           | 73          |
|    time_elapsed         | 377         |
|    total_timesteps      | 598016      |
| train/                  |             |
|    approx_kl            | 0.028571147 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.504      |
|    explained_variance   | 0.0312      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0359     |
|    n_updates            | 720         |
|    policy_gradient_loss | -0.0194     |
|    value_loss           | 0.087       |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.032531414 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.461      |
|    explained_variance   | -0.51       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.046      |
|    n_updates            | 730         |
|    policy_gradient_loss | -0.0239     |
|    value_loss           | 0.0195      |
| train_eval/             |             |
|    mean_cum_return      | 2.15        |
|    mean_mdd             | -0.499      |
|    mean_sharpe          | -0.209      |
|    mean_win_rate        | 0.374       |
|    std_cum_return       | 6.61        |
|    std_mdd              | 0.0885      |
|    std_sharpe           | 0.769       |
|    std_win_rate         | 0.0491      |
| val/                    |             |
|    mean_cum_return      | 0.0355      |
|    mean_mdd             | -0.318      |
|    mean_sharpe          | -0.82       |
|    mean_win_rate        | 0.339       |
|    std_cum_return       | 0.472       |
|    std_mdd              | 0.0931      |
|    std_sharpe           | 2.65        |
|    std_win_rate         | 0.0876      |
-----------------------------------------
  [eval] step=600,000  val cum_ret=+3.55%  MDD=-31.83%  sharpe=-0.820  win_rate=33.9%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 906      |
|    ep_rew_mean     | 5.42     |
| time/              |          |
|    fps             | 1568     |
|    iterations      | 74       |
|    time_elapsed    | 386      |
|    total_timesteps | 606208   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 939         |
|    ep_rew_mean          | 5.63        |
| time/                   |             |
|    fps                  | 1571        |
|    iterations           | 75          |
|    time_elapsed         | 390         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.025767561 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.449      |
|    explained_variance   | 0.0834      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0218     |
|    n_updates            | 740         |
|    policy_gradient_loss | -0.0242     |
|    value_loss           | 0.0144      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 891        |
|    ep_rew_mean          | 5.32       |
| time/                   |            |
|    fps                  | 1574       |
|    iterations           | 76         |
|    time_elapsed         | 395        |
|    total_timesteps      | 622592     |
| train/                  |            |
|    approx_kl            | 0.03140586 |
|    clip_fraction        | 0.175      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.458     |
|    explained_variance   | 0.109      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0334    |
|    n_updates            | 750        |
|    policy_gradient_loss | -0.021     |
|    value_loss           | 0.0124     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 895         |
|    ep_rew_mean          | 5.43        |
| time/                   |             |
|    fps                  | 1576        |
|    iterations           | 77          |
|    time_elapsed         | 400         |
|    total_timesteps      | 630784      |
| train/                  |             |
|    approx_kl            | 0.029214181 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.465      |
|    explained_variance   | 0.129       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.03       |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.0211     |
|    value_loss           | 0.0164      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 869         |
|    ep_rew_mean          | 5.35        |
| time/                   |             |
|    fps                  | 1579        |
|    iterations           | 78          |
|    time_elapsed         | 404         |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.029752553 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.486      |
|    explained_variance   | 0.154       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0212     |
|    n_updates            | 770         |
|    policy_gradient_loss | -0.0232     |
|    value_loss           | 0.0178      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 862         |
|    ep_rew_mean          | 5.34        |
| time/                   |             |
|    fps                  | 1581        |
|    iterations           | 79          |
|    time_elapsed         | 409         |
|    total_timesteps      | 647168      |
| train/                  |             |
|    approx_kl            | 0.024548098 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.481      |
|    explained_variance   | 0.208       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.032      |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0216     |
|    value_loss           | 0.019       |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.031726003 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.489      |
|    explained_variance   | 0.18        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0458     |
|    n_updates            | 790         |
|    policy_gradient_loss | -0.0235     |
|    value_loss           | 0.0169      |
| train_eval/             |             |
|    mean_cum_return      | 1.19        |
|    mean_mdd             | -0.511      |
|    mean_sharpe          | -0.173      |
|    mean_win_rate        | 0.375       |
|    std_cum_return       | 2.5         |
|    std_mdd              | 0.0866      |
|    std_sharpe           | 1.23        |
|    std_win_rate         | 0.0878      |
| val/                    |             |
|    mean_cum_return      | 0.0824      |
|    mean_mdd             | -0.324      |
|    mean_sharpe          | -0.3        |
|    mean_win_rate        | 0.387       |
|    std_cum_return       | 0.526       |
|    std_mdd              | 0.0942      |
|    std_sharpe           | 2.09        |
|    std_win_rate         | 0.0776      |
-----------------------------------------
  [eval] step=650,000  val cum_ret=+8.24%  MDD=-32.40%  sharpe=-0.300  win_rate=38.7%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 874      |
|    ep_rew_mean     | 5.39     |
| time/              |          |
|    fps             | 1565     |
|    iterations      | 80       |
|    time_elapsed    | 418      |
|    total_timesteps | 655360   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 885         |
|    ep_rew_mean          | 5.49        |
| time/                   |             |
|    fps                  | 1568        |
|    iterations           | 81          |
|    time_elapsed         | 423         |
|    total_timesteps      | 663552      |
| train/                  |             |
|    approx_kl            | 0.028853144 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.496      |
|    explained_variance   | 0.0387      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0597      |
|    n_updates            | 800         |
|    policy_gradient_loss | -0.0174     |
|    value_loss           | 0.0844      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 885         |
|    ep_rew_mean          | 5.59        |
| time/                   |             |
|    fps                  | 1570        |
|    iterations           | 82          |
|    time_elapsed         | 427         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.029164106 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.499      |
|    explained_variance   | -0.482      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0272     |
|    n_updates            | 810         |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 0.0175      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 852         |
|    ep_rew_mean          | 5.32        |
| time/                   |             |
|    fps                  | 1573        |
|    iterations           | 83          |
|    time_elapsed         | 432         |
|    total_timesteps      | 679936      |
| train/                  |             |
|    approx_kl            | 0.032530922 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.519      |
|    explained_variance   | -0.0343     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0385     |
|    n_updates            | 820         |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.0193      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 851         |
|    ep_rew_mean          | 5.28        |
| time/                   |             |
|    fps                  | 1575        |
|    iterations           | 84          |
|    time_elapsed         | 436         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.026009727 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.507      |
|    explained_variance   | 0.0333      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0525     |
|    n_updates            | 830         |
|    policy_gradient_loss | -0.0236     |
|    value_loss           | 0.0144      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 828         |
|    ep_rew_mean          | 5.01        |
| time/                   |             |
|    fps                  | 1577        |
|    iterations           | 85          |
|    time_elapsed         | 441         |
|    total_timesteps      | 696320      |
| train/                  |             |
|    approx_kl            | 0.030928684 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.519      |
|    explained_variance   | 0.153       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0557     |
|    n_updates            | 840         |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.015       |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.028694695 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.477      |
|    explained_variance   | 0.143       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0305     |
|    n_updates            | 850         |
|    policy_gradient_loss | -0.0255     |
|    value_loss           | 0.0136      |
| train_eval/             |             |
|    mean_cum_return      | 1.18        |
|    mean_mdd             | -0.49       |
|    mean_sharpe          | -0.191      |
|    mean_win_rate        | 0.363       |
|    std_cum_return       | 3.25        |
|    std_mdd              | 0.0917      |
|    std_sharpe           | 0.876       |
|    std_win_rate         | 0.067       |
| val/                    |             |
|    mean_cum_return      | 0.145       |
|    mean_mdd             | -0.31       |
|    mean_sharpe          | -0.0642     |
|    mean_win_rate        | 0.395       |
|    std_cum_return       | 0.582       |
|    std_mdd              | 0.0779      |
|    std_sharpe           | 1.98        |
|    std_win_rate         | 0.0806      |
-----------------------------------------
  [eval] step=700,000  val cum_ret=+14.46%  MDD=-31.01%  sharpe=-0.064  win_rate=39.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 854      |
|    ep_rew_mean     | 5.14     |
| time/              |          |
|    fps             | 1565     |
|    iterations      | 86       |
|    time_elapsed    | 450      |
|    total_timesteps | 704512   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 818         |
|    ep_rew_mean          | 4.75        |
| time/                   |             |
|    fps                  | 1567        |
|    iterations           | 87          |
|    time_elapsed         | 454         |
|    total_timesteps      | 712704      |
| train/                  |             |
|    approx_kl            | 0.030240564 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.521      |
|    explained_variance   | 0.0926      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0439     |
|    n_updates            | 860         |
|    policy_gradient_loss | -0.0237     |
|    value_loss           | 0.0138      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 828         |
|    ep_rew_mean          | 4.78        |
| time/                   |             |
|    fps                  | 1570        |
|    iterations           | 88          |
|    time_elapsed         | 459         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.031437807 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.504      |
|    explained_variance   | 0.135       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0561     |
|    n_updates            | 870         |
|    policy_gradient_loss | -0.0241     |
|    value_loss           | 0.0159      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 762         |
|    ep_rew_mean          | 4.29        |
| time/                   |             |
|    fps                  | 1572        |
|    iterations           | 89          |
|    time_elapsed         | 463         |
|    total_timesteps      | 729088      |
| train/                  |             |
|    approx_kl            | 0.029989164 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.519      |
|    explained_variance   | 0.129       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00559     |
|    n_updates            | 880         |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 0.0162      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 707         |
|    ep_rew_mean          | 3.86        |
| time/                   |             |
|    fps                  | 1574        |
|    iterations           | 90          |
|    time_elapsed         | 468         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.030308902 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.503      |
|    explained_variance   | 0.151       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0095     |
|    n_updates            | 890         |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 0.0192      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 708         |
|    ep_rew_mean          | 3.9         |
| time/                   |             |
|    fps                  | 1577        |
|    iterations           | 91          |
|    time_elapsed         | 472         |
|    total_timesteps      | 745472      |
| train/                  |             |
|    approx_kl            | 0.033361256 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.503      |
|    explained_variance   | 0.15        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0496     |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.0154      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.031080492 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.504      |
|    explained_variance   | 0.131       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00403    |
|    n_updates            | 910         |
|    policy_gradient_loss | -0.0218     |
|    value_loss           | 0.0144      |
| train_eval/             |             |
|    mean_cum_return      | 2.49        |
|    mean_mdd             | -0.494      |
|    mean_sharpe          | -0.0744     |
|    mean_win_rate        | 0.377       |
|    std_cum_return       | 6.82        |
|    std_mdd              | 0.0826      |
|    std_sharpe           | 0.71        |
|    std_win_rate         | 0.0448      |
| val/                    |             |
|    mean_cum_return      | 0.106       |
|    mean_mdd             | -0.318      |
|    mean_sharpe          | -0.196      |
|    mean_win_rate        | 0.393       |
|    std_cum_return       | 0.593       |
|    std_mdd              | 0.0831      |
|    std_sharpe           | 1.92        |
|    std_win_rate         | 0.085       |
-----------------------------------------
  [eval] step=750,000  val cum_ret=+10.63%  MDD=-31.79%  sharpe=-0.196  win_rate=39.3%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 727      |
|    ep_rew_mean     | 4.03     |
| time/              |          |
|    fps             | 1565     |
|    iterations      | 92       |
|    time_elapsed    | 481      |
|    total_timesteps | 753664   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 722        |
|    ep_rew_mean          | 4.13       |
| time/                   |            |
|    fps                  | 1567       |
|    iterations           | 93         |
|    time_elapsed         | 486        |
|    total_timesteps      | 761856     |
| train/                  |            |
|    approx_kl            | 0.03507815 |
|    clip_fraction        | 0.192      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.491     |
|    explained_variance   | 0.0325     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00541   |
|    n_updates            | 920        |
|    policy_gradient_loss | -0.0196    |
|    value_loss           | 0.0788     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 699        |
|    ep_rew_mean          | 4.01       |
| time/                   |            |
|    fps                  | 1569       |
|    iterations           | 94         |
|    time_elapsed         | 490        |
|    total_timesteps      | 770048     |
| train/                  |            |
|    approx_kl            | 0.02993689 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.486     |
|    explained_variance   | -0.355     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00777    |
|    n_updates            | 930        |
|    policy_gradient_loss | -0.023     |
|    value_loss           | 0.0216     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 717         |
|    ep_rew_mean          | 4.14        |
| time/                   |             |
|    fps                  | 1571        |
|    iterations           | 95          |
|    time_elapsed         | 495         |
|    total_timesteps      | 778240      |
| train/                  |             |
|    approx_kl            | 0.034919128 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.487      |
|    explained_variance   | 0.00955     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0511     |
|    n_updates            | 940         |
|    policy_gradient_loss | -0.0285     |
|    value_loss           | 0.0182      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 743         |
